imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1462058,6.3,39,13,30,28,26,21,14,15,9,17
tt1462411,6.1,163,105,187,303,364,279,163,65,67,73
tt1462506,5.2,34,6,6,3,7,2,4,2,9,41
tt1462667,6.9,708,745,2404,3961,2367,901,341,164,95,170
tt1462757,5.2,134,42,80,211,401,477,336,188,113,126
tt1462758,6.9,10012,12701,33562,45550,23220,9748,4268,2547,1905,3801
tt1462763,7.2,20,9,17,23,18,8,4,0,3,3
tt1462768,7.4,64,33,49,60,29,17,12,4,1,12
tt1462769,6.8,4644,3126,7151,12200,8944,4076,1847,965,563,942
tt1462900,6.7,2229,2322,5230,7962,6551,3263,1493,733,397,635
tt1462901,5.7,226,124,373,966,1596,1230,558,255,153,179
tt1463167,6.5,8,7,21,30,23,22,6,1,0,5
tt1463208,4.8,5,3,5,6,23,22,21,9,6,12
tt1463403,6.3,11,9,36,95,62,41,14,12,4,6
tt1463419,4.0,21,3,9,25,29,58,60,70,39,76
tt1463450,4.4,8,1,6,9,23,33,20,14,21,23
tt1463488,9.4,468,4,10,7,2,7,3,3,1,17
tt1464174,4.9,2435,564,1140,2115,3306,4263,3626,2493,1984,3107
tt1464191,6.7,386,152,297,669,724,344,146,53,39,85
tt1464239,7.1,55,26,66,82,60,26,7,3,4,14
tt1464251,6.1,21,11,34,32,37,28,14,9,6,18
tt1464535,5.2,160,62,145,398,826,1004,522,294,161,149
tt1464539,7.1,493,880,738,422,260,226,202,154,110,183
tt1464540,6.3,17040,10691,26274,51046,54592,32159,16649,7866,4187,4596
tt1464580,6.6,2153,2257,6668,11781,8885,4206,1976,954,516,754
tt1464595,4.5,27,3,7,15,16,33,25,25,21,44
tt1464606,6.4,201,33,65,86,129,129,77,48,35,50
tt1464763,5.6,1150,826,2342,5059,6717,5706,3449,2088,1220,1066
tt1465474,7.0,20,27,68,83,54,21,5,3,4,6
tt1465478,5.2,177,63,131,247,410,550,386,230,156,182
tt1465482,6.5,18,17,35,80,62,28,14,6,1,10
tt1465485,2.8,26,3,3,18,31,74,96,166,203,304
tt1465487,6.9,1621,1750,4622,8081,5291,2075,768,332,207,249
